sub,filename_o,Inducement Code,Onset,Apex,Offset,Duration,Micro,Action Units,imagename,Label,Objective Classes,catego,label
11,011_4_12,4,4158,4194,4254,97,Micro - 1/2,7C,011_011_4_12.jpg,Anger,7,samm,0
11,011_4_13,4,2755,2791,2853,99,Micro - 1/2,7,011_011_4_13.jpg,Anger,7,samm,0
11,011_4_2,4,2980,3014,3037,58,Micro - 1/2,L12 or L14,011_011_4_2.jpg,Contempt,1,samm,2
11,011_5_1,5,1048,1071,1088,41,Micro - 1/2,L14,011_011_5_1.jpg,Contempt,7,samm,2
11,011_6_13,6,4523,4585,4619,97,Micro - 1/2,ref(L10)+A12B,011_011_6_13.jpg,Happiness,1,samm,1
11,011_6_5,6,2504,2571,2602,99,Micro - 1/2,L12C,011_011_6_5.jpg,Happiness,1,samm,1
11,011_6_6,6,2607,2649,2680,74,Micro - 1/2,12C,011_011_6_6.jpg,Happiness,1,samm,1
11,011_7_10,7,3599,3630,3680,82,Micro - 1/2,L14,011_011_7_10.jpg,Contempt,7,samm,2
12,012_7_1,7,7871,7889,7923,53,Micro - 1/2,5,012_012_7_1.jpg,Surprise,2,samm,4
13,013_1_10,1,3802,3824,3890,89,Micro - 1/2,7,013_013_1_10.jpg,Anger,7,samm,0
13,013_1_11,1,4490,4544,4582,93,Micro - 1/2,7A,013_013_1_11.jpg,Anger,7,samm,0
13,013_1_12,1,706,739,802,97,Micro - 1/2,7B,013_013_1_12.jpg,Anger,7,samm,0
13,013_1_8,1,841,867,919,79,Micro - 1/2,7A,013_013_1_8.jpg,Anger,7,samm,0
13,013_1_9,1,5658,5680,5739,82,Micro - 1/2,7,013_013_1_9.jpg,Anger,7,samm,0
13,013_7_7,7,2077,2135,2167,91,Micro - 1/2,7B,013_013_7_7.jpg,Anger,7,samm,0
14,014_1_5,1,1166,1213,1252,87,Micro - 1/2,24,014_014_1_5.jpg,Other,7,samm,3
14,014_2_3,2,4616,4645,4705,90,Micro - 1/2,5C,014_014_2_3.jpg,Surprise,2,samm,4
14,014_2_4,2,3874,3925,3968,95,Micro - 1/2,12B,014_014_2_4.jpg,Happiness,1,samm,1
14,014_3_3,3,2635,2646,2714,80,Micro - 1/2,12A+ref(24),014_014_3_3.jpg,Happiness,1,samm,1
14,014_3_4,3,1426,1457,1523,98,Micro - 1/2,12+24,014_014_3_4.jpg,Happiness,1,samm,1
14,014_5_2,5,469,498,557,89,Micro - 1/2,R12 or R14,014_014_5_2.jpg,Contempt,7,samm,2
14,014_6_1,6,1316,1334,1350,35,Micro - 1/2,L12A,014_014_6_1.jpg,Happiness,1,samm,1
14,014_6_2,6,1190,1221,1253,64,Micro - 1/2,12A,014_014_6_2.jpg,Happiness,1,samm,1
14,014_6_3,6,128,171,196,69,Micro - 1/2,A/L12,014_014_6_3.jpg,Happiness,1,samm,1
14,014_7_1,7,3529,3560,3598,70,Micro - 1/2,L12A,014_014_7_1.jpg,Happiness,1,samm,1
15,015_5_2,5,6587,6615,6659,73,Micro - 1/2,L14,015_015_5_2.jpg,Contempt,7,samm,2
15,015_5_3,5,6050,6073,6127,78,Micro - 1/2,1+2,015_015_5_3.jpg,Surprise,2,samm,4
16,016_7_1,7,2275,2299,2323,49,Micro - 1/2,7D+ref(43),016_016_7_1.jpg,Anger,7,samm,0
16,016_7_2,7,3840,3854,3892,53,Micro - 1/2,1+2,016_016_7_2.jpg,Surprise,2,samm,4
16,016_7_3,7,4395,4421,4447,53,Micro - 1/2,4,016_016_7_3.jpg,Anger,3,samm,0
16,016_7_5,7,6120,6155,6207,88,Micro - 1/2,5C,016_016_7_5.jpg,Surprise,2,samm,4
16,016_7_8,7,12256,12324,12349,94,Micro - 1/2,12,016_016_7_8.jpg,Happiness,1,samm,1
17,017_3_1,3,312,337,387,76,Micro - 1/2,R14,017_017_3_1.jpg,Contempt,7,samm,2
17,017_3_2,3,83,116,165,83,Micro - 1/2,1A+2B+L14C,017_017_3_2.jpg,Surprise,7,samm,4
17,017_3_3,3,1393,1489,1492,100,Micro - 1/2,R2,017_017_3_3.jpg,Other,7,samm,3
17,017_3_4,3,174,199,264,91,Micro - 1/2,L14C,017_017_3_4.jpg,Contempt,7,samm,2
17,017_6_1,6,1107,1143,1178,72,Micro - 1/2,7,017_017_6_1.jpg,Anger,7,samm,0
17,017_6_2,6,916,960,1008,93,Micro - 1/2,R2A,017_017_6_2.jpg,Other,7,samm,3
18,018_1_4,1,10521,10570,10607,87,Micro - 1/2,R2B,018_018_1_4.jpg,Other,7,samm,3
18,018_7_1,7,10133,10156,10175,43,Micro - 1/2,5,018_018_7_1.jpg,Surprise,2,samm,4
19,019_3_2,3,872,908,971,100,Micro - 1/2,L2A,019_019_3_2.jpg,Other,7,samm,3
19,019_4_1,4,4496,4517,4550,55,Micro - 1/2,12B,019_019_4_1.jpg,Happiness,1,samm,1
19,019_5_1,5,5227,5268,5308,82,Micro - 1/2,L2,019_019_5_1.jpg,Other,7,samm,3
20,020_1_1,1,2804,2823,2837,34,Micro - 1/2,L2,020_020_1_1.jpg,Other,7,samm,3
20,020_1_2,1,2728,2746,2783,56,Micro - 1/2,L2,020_020_1_2.jpg,Other,7,samm,3
20,020_1_3,1,7251,7275,7325,75,Micro - 1/2,B18+25,020_020_1_3.jpg,Other,7,samm,3
20,020_1_4,1,8114,8131,8209,96,Micro - 1/2,8+25,020_020_1_4.jpg,Other,7,samm,3
20,020_4_1,4,3440,3469,3497,58,Micro - 1/2,14+25+26,020_020_4_1.jpg,Contempt,7,samm,2
20,020_4_2,4,1482,1516,1528,47,Micro - 1/2,L12A+25,020_020_4_2.jpg,Happiness,1,samm,1
20,020_7_1,7,8518,8551,8577,60,Micro - 1/2,A7,020_020_7_1.jpg,Anger,7,samm,0
20,020_7_10,7,9071,9140,9165,95,Micro - 1/2,L2C+12,020_020_7_10.jpg,Happiness,7,samm,1
20,020_7_2,7,147,181,238,92,Micro - 1/2,L2,020_020_7_2.jpg,Other,7,samm,3
21,021_7_1,7,5589,5621,5646,58,Micro - 1/2,L4,021_021_7_1.jpg,Anger,3,samm,0
21,021_7_2,7,2853,2882,2942,90,Micro - 1/2,4,021_021_7_2.jpg,Anger,3,samm,0
22,022_2_3,2,402,438,501,100,Micro - 1/2,7,022_022_2_3.jpg,Anger,7,samm,0
22,022_3_2,3,380,421,428,49,Micro - 1/2,7A,022_022_3_2.jpg,Anger,7,samm,0
22,022_3_3,3,3659,3683,3697,39,Micro - 1/2,7C+A12B,022_022_3_3.jpg,Happiness,1,samm,1
22,022_4_1,4,492,505,569,78,Micro - 1/2,7,022_022_4_1.jpg,Anger,7,samm,0
22,022_5_1,5,335,357,405,71,Micro - 1/2,A12,022_022_5_1.jpg,Happiness,1,samm,1
23,023_1_1,1,5024,5037,5074,51,Micro - 1/2,17,023_023_1_1.jpg,Anger,7,samm,0
25,025_4_1,4,4328,4371,4408,81,Micro - 1/2,T18+39,025_025_4_1.jpg,Other,7,samm,3
25,025_4_2,4,2116,2130,2202,87,Micro - 1/2,13+39,025_025_4_2.jpg,Other,7,samm,3
25,025_5_1,5,2840,2873,2937,98,Micro - 1/2,4+13+T18+39,025_025_5_1.jpg,Other,7,samm,3
25,025_6_1,6,2822,2851,2896,75,Micro - 1/2,13+T18+39,025_025_6_1.jpg,Other,7,samm,3
26,026_1_1,1,295,323,370,76,Micro - 1/2,4+6+7+9+43E,026_026_1_1.jpg,Anger,7,samm,0
26,026_1_2,1,117,146,203,87,Micro - 1/2,L2,026_026_1_2.jpg,Other,7,samm,3
26,026_2_1,2,2881,2918,2947,67,Micro - 1/2,7D,026_026_2_1.jpg,Anger,7,samm,0
26,026_2_2,2,2952,2978,3028,77,Micro - 1/2,4D+ref(6)+7C+43E,026_026_2_2.jpg,Anger,3,samm,0
26,026_2_3,2,2607,2642,2685,79,Micro - 1/2,4B+7B+43E,026_026_2_3.jpg,Anger,3,samm,0
26,026_2_4,2,4015,4038,4098,84,Micro - 1/2,2C,026_026_2_4.jpg,Other,7,samm,3
26,026_3_3,3,1704,1736,1737,34,Micro - 1/2,7B,026_026_3_3.jpg,Anger,7,samm,0
26,026_3_4,3,3582,3608,3640,59,Micro - 1/2,7B,026_026_3_4.jpg,Anger,7,samm,0
26,026_5_1,5,5073,5089,5146,74,Micro - 1/2,R14+17+soft focus,026_026_5_1.jpg,Contempt,7,samm,2
26,026_6_1,6,3848,3882,3941,94,Micro - 1/2,R14+R17,026_026_6_1.jpg,Contempt,7,samm,2
26,026_7_1,7,2848,2871,2947,100,Micro - 1/2,L2,026_026_7_1.jpg,Other,7,samm,3
26,026_7_2,7,5579,5603,5654,76,Micro - 1/2,L2,026_026_7_2.jpg,Other,7,samm,3
28,028_4_1,4,1071,1134,1134,64,Micro - 1/2,A14C,028_028_4_1.jpg,Contempt,7,samm,2
28,028_4_3,4,370,424,441,72,Micro - 1/2,5B,028_028_4_3.jpg,Surprise,2,samm,4
28,028_4_4,4,1288,1367,1376,89,Micro - 1/2,5A,028_028_4_4.jpg,Surprise,2,samm,4
30,030_1_1,1,2379,2422,2460,82,Micro - 1/2,4A/B,030_030_1_1.jpg,Anger,3,samm,0
30,030_1_2,1,6344,6392,6434,91,Micro - 1/2,4,030_030_1_2.jpg,Anger,3,samm,0
30,030_5_1,5,1921,1960,2001,81,Micro - 1/2,4A,030_030_5_1.jpg,Anger,3,samm,0
31,031_3_1,3,3831,3852,3886,56,Micro - 1/2,7B,031_031_3_1.jpg,Anger,7,samm,0
32,032_3_1,3,4896,4930,4970,75,Micro - 1/2,4A,032_032_3_1.jpg,Anger,3,samm,0
32,032_3_2,3,5126,5127,5207,82,Micro - 1/2,4A,032_032_3_2.jpg,Anger,3,samm,0
32,032_3_3,3,3425,3464,3469,45,Micro - 1/2,24+38,032_032_3_3.jpg,Other,7,samm,3
32,032_4_1,4,3307,3328,3371,65,Micro - 1/2,24,032_032_4_1.jpg,Other,7,samm,3
32,032_4_2,4,408,436,479,72,Micro - 1/2,7,032_032_4_2.jpg,Anger,7,samm,0
33,033_1_3,1,5957,5988,6009,53,Micro - 1/2,12+39,033_033_1_3.jpg,Happiness,1,samm,1
33,033_1_5,1,6889,6926,6973,85,Micro - 1/2,7,033_033_1_5.jpg,Anger,7,samm,0
33,033_2_1,2,695,749,776,82,Micro - 1/2,4A,033_033_2_1.jpg,Anger,3,samm,0
33,033_2_2,2,2117,2149,2215,99,Micro - 1/2,7,033_033_2_2.jpg,Anger,7,samm,0
34,034_3_1,3,3129,3159,3217,89,Micro - 1/2,7B,034_034_3_1.jpg,Anger,7,samm,0
34,034_7_2,7,1578,1612,1655,78,Micro - 1/2,7B,034_034_7_2.jpg,Anger,7,samm,0
34,034_7_3,7,3636,3672,3719,84,Micro - 1/2,7B+56,034_034_7_3.jpg,Anger,7,samm,0
35,035_1_1,1,9649,9667,9691,43,Micro - 1/2,4,035_035_1_1.jpg,Anger,3,samm,0
35,035_4_1,4,231,245,263,33,Micro - 1/2,7,035_035_4_1.jpg,Anger,7,samm,0
35,035_4_2,4,1509,1534,1574,66,Micro - 1/2,4,035_035_4_2.jpg,Anger,3,samm,0
35,035_5_1,5,408,427,468,61,Micro - 1/2,38,035_035_5_1.jpg,Other,7,samm,3
35,035_7_1,7,7809,7819,7853,45,Micro - 1/2,A1B+A2C,035_035_7_1.jpg,Surprise,2,samm,4
35,035_7_2,7,823,855,918,96,Micro - 1/2,R14A or 17A or 24A,035_035_7_2.jpg,Contempt,7,samm,2
37,037_3_1,3,3306,3342,3382,77,Micro - 1/2,24,037_037_3_1.jpg,Other,7,samm,3
37,037_3_2,3,3196,3214,3295,100,Micro - 1/2,T23,037_037_3_2.jpg,Anger,3,samm,0
37,037_4_1,4,1488,1529,1577,90,Micro - 1/2,24,037_037_4_1.jpg,Other,7,samm,3
